window,phi
0.04 0.02 0.04 0.02 0.02 0.02 0.04 0.02 0.04 0.05 0.01 0.02 0.02 0.02 0.02 0.04 0.02 0.02 0.01 0.01 0.01 0.04 0.02 0.01 0.05,0.8519986328152099
0.02 0.04 0.02 0.02 0.02 0.04 0.02 0.04 0.05 0.01 0.02 0.02 0.02 0.02 0.04 0.02 0.02 0.01 0.01 0.01 0.04 0.02 0.01 0.05 0.00,0.7962676659847933
0.02 0.02 0.02 0.04 0.02 0.01 0.02 0.02 0.04 0.02 0.04 0.02 0.02 0.04 0.04 0.05 0.02 0.02 0.02 0.01 0.02 0.02 0.02 0.01 0.01,0.5401616647315055
0.02 0.02 0.04 0.02 0.01 0.02 0.02 0.04 0.02 0.04 0.02 0.02 0.04 0.04 0.05 0.02 0.02 0.02 0.01 0.02 0.02 0.02 0.01 0.01 0.00,0.8434608157883359
0.02 0.02 0.01 0.04 0.06 0.02 0.02 0.02 0.02 0.01 0.01 0.02 0.01 0.01 0.01 0.01 0.02 0.01 0.05 0.01 0.02 0.02 0.01 0.02 0.02,0.0005132144605363154
0.02 0.01 0.04 0.06 0.02 0.02 0.02 0.02 0.01 0.01 0.02 0.01 0.01 0.01 0.01 0.02 0.01 0.05 0.01 0.02 0.02 0.01 0.02 0.02 0.01,0.23322496694869377
0.02 0.04 0.04 0.02 0.02 0.01 0.04 0.06 0.02 0.02 0.02 0.02 0.01 0.01 0.02 0.01 0.01 0.01 0.01 0.02 0.01 0.05 0.01 0.02 0.02,0.007029837523262361
0.04 0.04 0.02 0.02 0.01 0.04 0.06 0.02 0.02 0.02 0.02 0.01 0.01 0.02 0.01 0.01 0.01 0.01 0.02 0.01 0.05 0.01 0.02 0.02 0.01,0.28551381535970566
0.04 0.02 0.04 0.02 0.04 0.04 0.02 0.02 0.01 0.04 0.06 0.02 0.02 0.02 0.02 0.01 0.01 0.02 0.01 0.01 0.01 0.01 0.02 0.01 0.05,0.8263652591283852
0.02 0.04 0.02 0.04 0.04 0.02 0.02 0.01 0.04 0.06 0.02 0.02 0.02 0.02 0.01 0.01 0.02 0.01 0.01 0.01 0.01 0.02 0.01 0.05 0.01,0.3268576415505836
0.89 0.90 0.90 0.90 0.90 0.90 0.89 0.91 0.89 0.89 0.90 0.90 0.89 0.89 0.90 0.90 0.89 0.89 0.89 0.89 0.89 0.90 0.89 0.90 0.90,0.2566346179468877
0.90 0.90 0.90 0.90 0.90 0.89 0.91 0.89 0.89 0.90 0.90 0.89 0.89 0.90 0.90 0.89 0.89 0.89 0.89 0.89 0.90 0.89 0.90 0.90 0.90,0.22119852856098343
0.91 0.89 0.90 0.90 0.90 0.90 0.90 0.89 0.91 0.89 0.89 0.90 0.90 0.89 0.89 0.90 0.90 0.89 0.89 0.89 0.89 0.89 0.90 0.89 0.90,0.18126872911229752
0.91 0.91 0.89 0.90 0.90 0.90 0.90 0.90 0.89 0.91 0.89 0.89 0.90 0.90 0.89 0.89 0.90 0.90 0.89 0.89 0.89 0.89 0.89 0.90 0.89,0.35297664003447726
0.90 0.89 0.91 0.91 0.89 0.90 0.90 0.90 0.90 0.90 0.89 0.91 0.89 0.89 0.90 0.90 0.89 0.89 0.90 0.90 0.89 0.89 0.89 0.89 0.89,0.35297664003447726
0.89 0.91 0.91 0.89 0.90 0.90 0.90 0.90 0.90 0.89 0.91 0.89 0.89 0.90 0.90 0.89 0.89 0.90 0.90 0.89 0.89 0.89 0.89 0.89 0.90,0.12868760183101158
0.96 0.96 0.95 0.95 0.96 0.95 0.96 0.95 0.95 0.96 0.96 0.96 0.96 0.95 0.95 0.95 0.95 0.96 0.95 0.96 0.94 0.94 0.96 0.95 0.96,0.36237094101895584
0.96 0.95 0.95 0.96 0.95 0.96 0.95 0.95 0.96 0.96 0.96 0.96 0.95 0.95 0.95 0.95 0.96 0.95 0.96 0.94 0.94 0.96 0.95 0.96 0.95,0.15293942965037388
0.01 0.04 0.02 0.04 0.02 0.04 0.02 0.06 0.04 0.02 0.04 0.02 0.02 0.02 0.02 0.02 0.04 0.02 0.02 0.01 0.02 0.02 0.02 0.04 0.02,0.1333988948047452
0.04 0.02 0.04 0.02 0.04 0.02 0.06 0.04 0.02 0.04 0.02 0.02 0.02 0.02 0.02 0.04 0.02 0.02 0.01 0.02 0.02 0.02 0.04 0.02 0.01,0.6094327179565506
0.04 0.02 0.04 0.01 0.02 0.01 0.02 0.04 0.02 0.01 0.02 0.02 0.04 0.05 0.09 0.04 0.02 0.04 0.02 0.01 0.02 0.02 0.04 0.01 0.02,0.0899948429398576
0.02 0.04 0.01 0.02 0.01 0.02 0.04 0.02 0.01 0.02 0.02 0.04 0.05 0.09 0.04 0.02 0.04 0.02 0.01 0.02 0.02 0.04 0.01 0.02 0.01,0.35102136115826144
0.95 0.95 0.96 0.95 0.96 0.95 0.95 0.96 0.96 0.96 0.96 0.95 0.95 0.95 0.95 0.96 0.95 0.96 0.94 0.94 0.96 0.95 0.96 0.95 0.94,0.84355752065257
0.01 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,0.11750254585673647
0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,0.09084308475795211
0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.00,0.9999938550350971
0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.00 0.00,0.9968170842846916
0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01,0.0
0.00 0.01 0.01 0.00 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.00 0.01 0.01 0.00 0.00 0.00 0.01 0.00,0.4182209242643876
0.01 0.01 0.00 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.00 0.01 0.01 0.00 0.00 0.00 0.01 0.00 0.00,0.4182209242643876
0.01 0.00 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.01 0.01 0.01 0.00 0.01 0.01 0.00 0.00 0.00 0.01 0.00 0.00 0.00,0.3696856488185445
0.02 0.02 0.02 0.02 0.02 0.03 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.21 0.63 0.76 0.49 0.61 0.77 0.84 0.84 0.57 0.67 0.84 0.99,0.8067447533804161
0.02 0.02 0.02 0.02 0.03 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.21 0.63 0.76 0.49 0.61 0.77 0.84 0.84 0.57 0.67 0.84 0.99 1.00,0.746726673157809
0.03 0.02 0.02 0.02 0.02 0.02 0.03 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.21 0.63 0.76 0.49 0.61 0.77 0.84 0.84 0.57 0.67 0.84,0.7197270022273468
0.03 0.03 0.02 0.02 0.02 0.02 0.02 0.03 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.21 0.63 0.76 0.49 0.61 0.77 0.84 0.84 0.57 0.67,0.5374165222393851
0.03 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.21 0.63 0.76 0.49 0.61 0.77 0.84 0.84 0.57 0.67 0.84 0.99 1.00 1.00 1.00 1.00 1.00,0.49671113725744964
0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.21 0.63 0.76 0.49 0.61 0.77 0.84 0.84 0.57 0.67 0.84 0.99 1.00 1.00 1.00 1.00 1.00 1.00,0.44471995351506455
