Episode 1: Precision:1.0, Recall:0.08085977482088025, F1-score:0.14962121212121213, AU-PR:0.11881092011713584
Episode 2: Precision:0.08745247148288973, Recall:0.215962441314554, F1-score:0.12449255751014887, AU-PR:0.032999522848143545
Episode 3: Precision:0.08745247148288973, Recall:0.215962441314554, F1-score:0.12449255751014887, AU-PR:0.032999522848143545
Episode 4: Precision:0.5348837209302325, Recall:0.4045226130653266, F1-score:0.4606580829756795, AU-PR:0.24114521648181983
Episode 5: Precision:0.5370985603543743, Recall:0.40619765494137355, F1-score:0.4625655698617072, AU-PR:0.2428711477102154
Episode 6: Precision:0.022790697674418603, Recall:0.3387096774193548, F1-score:0.04270772806507844, AU-PR:0.017726403358161717
Episode 7: Precision:0.022945736434108528, Recall:0.34101382488479265, F1-score:0.04299825682742592, AU-PR:0.017796919343404292
Episode 8: Precision:0.95, Recall:0.06929248723559446, F1-score:0.12916383412644458, AU-PR:0.11032034866481162
Episode 9: Precision:0.96, Recall:0.0700218818380744, F1-score:0.13052345343303873, AU-PR:0.11167862363627637
Episode 10: Precision:0.06085526315789474, Recall:0.36633663366336633, F1-score:0.10437235543018336, AU-PR:0.028986206055219666
Episode 11: Precision:0.06140350877192982, Recall:0.3696369636963696, F1-score:0.10531264692054536, AU-PR:0.02935484257176121
