Episode 1: Precision:1.0, Recall:0.04912998976458546, F1-score:0.09365853658536585, AU-PR:0.08839125254879643
Episode 2: Precision:0.0, Recall:0.0, F1-score:0.0, AU-PR:0.018000507056536805
Episode 3: Precision:0.0, Recall:0.0, F1-score:0.0, AU-PR:0.018000507056536805
Episode 4: Precision:0.0, Recall:0.0, F1-score:0.0, AU-PR:0.04160133793247622
Episode 5: Precision:0.0, Recall:0.0, F1-score:0.0, AU-PR:0.04160133793247622
Episode 6: Precision:0.14049586776859505, Recall:0.03917050691244239, F1-score:0.06126126126126126, AU-PR:0.02004304331357424
Episode 7: Precision:0.14049586776859505, Recall:0.03917050691244239, F1-score:0.06126126126126126, AU-PR:0.02004304331357424
Episode 8: Precision:0.0, Recall:0.0, F1-score:0.0, AU-PR:0.0478050141218313
Episode 9: Precision:0.0, Recall:0.0, F1-score:0.0, AU-PR:0.0478050141218313
Episode 10: Precision:0.75, Recall:0.1188118811881188, F1-score:0.20512820512820512, AU-PR:0.09841593821958883
Episode 11: Precision:0.7708333333333334, Recall:0.12211221122112212, F1-score:0.21082621082621084, AU-PR:0.10340033236452481
