Episode 1: Precision:1.0, Recall:0.07574206755373593, F1-score:0.14081826831588964, AU-PR:0.11390452212224239
Episode 2: Precision:0.05975197294250282, Recall:0.12441314553990611, F1-score:0.08073115003808073, AU-PR:0.02319493825831192
Episode 3: Precision:0.05975197294250282, Recall:0.12441314553990611, F1-score:0.08073115003808073, AU-PR:0.02319493825831192
Episode 4: Precision:0.0, Recall:0.0, F1-score:0.0, AU-PR:0.04160133793247622
Episode 5: Precision:0.037037037037037035, Recall:0.0008375209380234506, F1-score:0.001638001638001638, AU-PR:0.04159751523490885
Episode 6: Precision:0.02544188537761114, Recall:0.21889400921658986, F1-score:0.04558541266794626, AU-PR:0.017389159974342604
Episode 7: Precision:0.025709694697375468, Recall:0.22119815668202766, F1-score:0.046065259117082535, AU-PR:0.017472153254438773
Episode 8: Precision:1.0, Recall:0.03574033552151714, F1-score:0.06901408450704226, AU-PR:0.08183678239902333
Episode 9: Precision:1.0, Recall:0.03574033552151714, F1-score:0.06901408450704226, AU-PR:0.08183678239902333
Episode 10: Precision:0.3853658536585366, Recall:0.2607260726072607, F1-score:0.3110236220472441, AU-PR:0.10828306831880255
Episode 11: Precision:0.3902439024390244, Recall:0.264026402640264, F1-score:0.31496062992125984, AU-PR:0.11080797871048513
